Adam Baum
Al Coholic
Anita Job
Anna Prentice
Anne Teak
Barb Dwyer
Barry Cade
Bill Board
Brigton Early
Charity Case
Constance Noring
Dan Druff
Doris Shutt
Doug Graves
Duane Pipe
Eileen Dover
Emma Royds
Felix Cited
Gail Force
Gery Attrick
Gladys Canby
Harry Chest
Jack Hammer
Jaques Strap
Jim Shorts
Kirsten Swore
Lois Price
Lorne Mowers
Lou Pole
Luke Warm
Marshall Law
Matt Tress
Mike Stand
Neil Down
Pete Moss
Polly Ester
Ray Gunn
Rex Cars
Rhoda Book
Rhoda Camel
Rick O'Shea
Robyn Banks
Sandy Beech
Sarah Nader
Sonny Day
Stan Dupp
Tad Pohl
Tom Morrow
Willie Maykit
